tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30vpre	039253_14	stm	1	31	27.253	1.86	1.86	0.0	576	63	4	18	18	6416	780	0.5089988708496094	0.36025238037109375	0.6815643310546875	561.2	123.2	99.8	12.0	14396.1	0.3	1701.4	8252.9	125.3	14.2	44.2	0.0	0.0	0.0	0.3	452.2	867.5	0.509	0.000	0.000	0.000	0.360	0.000	0.000	0.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_15	stm	1	26	22.43	1.46	1.6419029235839844	0.1819029235839844	440	56	7	17	17	6499	868	0.4362373352050781	0.2911529541015625	0.5646743774414062	498.7	119.3	93.8	9.9	11757.6	0.3	1879.4	6112.1	94.4	17.1	166.6	0.0	0.0	0.0	0.3	374.7	726.5	0.436	0.000	0.000	0.000	0.291	0.000	0.050	0.565	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_16	stm	1	20	16.146	1.04	1.3848400115966797	0.34484001159667965	316	46	5	22	22	6807	619	0.28582763671875	0.21785354614257812	0.5792922973632812	370.6	89.2	62.7	6.4	6545.3	0.2	449.3	7090.9	51.6	30.9	142.0	0.0	0.0	0.0	0.3	452.9	526.8	0.286	0.002	0.000	0.000	0.218	0.000	0.000	0.579	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_17	stm	1	34	29.957	1.89	1.9450092315673828	0.05500923156738291	639	64	5	16	16	5662	1289	0.5696754455566406	0.36907958984375	0.5305252075195312	645.9	135.6	107.2	11.4	16672.0	0.4	3677.6	6437.4	136.3	4.2	61.0	0.0	0.0	0.0	0.3	363.0	951.1	0.570	0.000	0.000	0.000	0.369	0.000	0.098	0.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.058
d30vpre	039253_1	stm	1	27	22.986	1.76	1.76	0.0	486	46	5	15	15	5101	735	0.5567703247070312	0.2959709167480469	0.4169502258300781	631.4	132.3	105.2	8.9	12372.2	0.3	2631.6	4878.0	105.5	4.0	75.5	0.0	0.0	0.0	0.3	332.3	930.6	0.557	0.000	0.000	0.000	0.296	0.000	0.072	0.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.101
d30vpre	039253_2	stm	1	56	50.396	2.16	2.16	0.0	496	58	7	19	19	6748	780	0.5716896057128906	0.7120513916015625	0.5520439147949219	626.8	140.6	112.7	11.7	27597.9	0.3	6396.4	12653.2	145.2	24.9	356.7	0.0	0.0	0.0	0.3	497.7	996.3	0.572	0.000	0.000	0.000	0.712	0.000	0.000	0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.000
d30vpre	039253_3	stm	1	16	10.205	0.73	1.045083999633789	0.3150839996337891	246	41	4	11	11	3143	632	0.2808113098144531	0.18892669677734375	0.18513870239257812	318.6	74.9	58.1	5.0	6128.9	0.2	570.7	1924.0	60.0	2.5	26.1	0.0	0.0	0.0	0.2	214.5	506.8	0.281	0.001	0.000	0.000	0.189	0.000	0.015	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.080
d30vpre	039253_4	stm	1	26	21.406	1.2	1.4181041717529297	0.21810417175292973	500	50	4	12	12	4041	626	0.410858154296875	0.2858123779296875	0.32407379150390625	448.5	120.7	87.0	9.2	12464.3	0.3	1930.8	4353.8	101.0	72.0	196.7	0.0	0.0	0.0	0.3	303.8	759.2	0.411	0.000	0.000	0.000	0.286	0.000	0.033	0.324	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.153	0.064
d30vpre	039253_5	stm	1	41	37.335	2.24	2.24	0.0	598	49	4	18	18	5105	789	0.6676139831542969	0.6296157836914062	0.6081314086914062	771.3	169.3	143.7	15.0	23000.8	0.3	3794.5	6898.6	142.8	4.7	54.2	0.0	0.0	0.0	0.3	432.4	1071.8	0.668	0.000	0.000	0.000	0.630	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_6	stm	1	31	27.864	1.98	1.9826889038085938	0.0026889038085937678	565	53	12	28	28	9151	856	0.4369926452636719	0.2698211669921875	0.9341239929199219	483.3	103.3	84.0	9.3	11620.4	0.3	1733.6	11747.7	104.7	41.1	71.0	0.0	0.0	0.0	0.3	572.8	730.8	0.437	0.000	0.000	0.000	0.270	0.000	0.038	0.934	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.002
