sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp2k	g100	imaging	16	0	113.0	951584.0
mcp2k	g100	clus+QL	16	0	72.0	552840.0
mcp2k	g101	imaging	16	0	102.0	951448.0
mcp2k	g101	clus+QL	16	0	59.0	463664.0
mcp2k	g102	imaging	16	0	136.0	971808.0
mcp2k	g102	clus+QL	16	0	97.0	689284.0
mcp2k	g103	imaging	16	0	102.0	946164.0
mcp2k	g103	clus+QL	16	0	64.0	506624.0
mcp2k	g104	imaging	16	0	114.0	955072.0
mcp2k	g104	clus+QL	16	0	66.0	525160.0
mcp2k	g105	imaging	16	0	130.0	1009340.0
mcp2k	g105	clus+QL	16	0	86.0	576356.0
mcp2k	g106	imaging	16	0	127.0	946652.0
mcp2k	g106	clus+QL	16	0	88.0	527464.0
mcp2k	g107	imaging	16	0	117.0	951304.0
mcp2k	g107	clus+QL	16	0	81.0	587940.0
mcp2k	g108	imaging	16	0	137.0	974932.0
mcp2k	g108	clus+QL	16	0	95.0	536588.0
mcp2k	g109	imaging	16	0	98.0	955248.0
mcp2k	g109	clus+QL	16	0	59.0	525624.0
mcp2k	g11	imaging	16	0	139.0	951032.0
mcp2k	g11	clus+QL	16	0	98.0	634828.0
mcp2k	g110	imaging	16	0	135.0	960308.0
mcp2k	g110	clus+QL	16	0	102.0	698724.0
mcp2k	g111	imaging	16	0	107.0	970520.0
mcp2k	g111	clus+QL	16	0	85.0	597808.0
mcp2k	g112	imaging	16	0	98.0	967832.0
mcp2k	g112	clus+QL	16	0	63.0	543064.0
mcp2k	g113	imaging	16	0	103.0	952480.0
mcp2k	g113	clus+QL	16	0	64.0	527776.0
mcp2k	g114	imaging	16	0	115.0	950496.0
mcp2k	g114	clus+QL	16	0	77.0	584592.0
mcp2k	g115	imaging	16	0	107.0	974392.0
mcp2k	g115	clus+QL	16	0	70.0	577548.0
mcp2k	g116	imaging	16	0	104.0	951608.0
mcp2k	g116	clus+QL	16	0	68.0	487012.0
mcp2k	g117	imaging	16	0	96.0	951348.0
mcp2k	g117	clus+QL	16	0	60.0	482568.0
mcp2k	g118	imaging	16	0	102.0	953484.0
mcp2k	g118	clus+QL	16	0	59.0	503560.0
mcp2k	g119	imaging	16	0	111.0	952340.0
mcp2k	g119	clus+QL	16	0	73.0	497444.0
mcp2k	g12	imaging	16	0	111.0	947988.0
