# doc pdhd/10 d10_coverage.py det=pdhd status=0 files=61
det	event	run	block	apa	npts	L	status	wire_med	frac_hi96	hit_u	pres_u	cov_u	covch_u	qhit_u	qpt_u	qpcm_u	hit_v	pres_v	cov_v	covch_v	qhit_v	qpt_v	qpcm_v	hit_w	pres_w	cov_w	covch_w	qhit_w	qpt_w	qpcm_w
pdhd	029107_20_d30hpost	029107	1050	3	106	66.0426	0	28.5	0	56	65	0.528302	0.613208	4.27599e+06	76356.9	64745.9	57	106	0.537736	1	3.79942e+06	66656.5	57529.9	53	58	0.5	0.54717	2.13015e+06	40191.5	32254.2
pdhd	029107_20_d30hpost	029107	1330	1	286	184.262	0	150.5	0	286	286	1	1	1.13236e+07	39592.9	61453.5	279	281	0.975524	0.982517	8.83457e+06	31665.1	47945.6	286	286	1	1	4.14418e+06	14490.1	22490.6
pdhd	029107_20_d30hpost	029107	1360	3	476	302.524	0	68	0	475	475	0.997899	0.997899	2.12928e+07	44827	70383.9	476	476	1	1	2.24616e+07	47188.2	74247.2	476	476	1	1	3.42942e+07	72046.6	113360
pdhd	029107_20_d30hpost	029107	1430	3	96	57.3052	0	445	0	12	48	0.125	0.5	46794	3899.5	816.576	8	85	0.0833333	0.885417	37098	4637.25	647.376	7	11	0.0729167	0.114583	43995	6285	767.732
pdhd	029107_21_d30hpost	029107	310	0	129	80.9447	0	546	0	126	129	0.976744	1	3.71906e+06	29516.3	45945.6	123	128	0.953488	0.992248	5.6876e+06	46240.7	70265.3	115	127	0.891473	0.984496	1.85014e+06	16088.2	22856.8
pdhd	029107_21_d30hpost	029107	370	0	380	245.614	0	940	1	278	282	0.731579	0.742105	1.23988e+07	44599.9	50480.7	270	272	0.710526	0.715789	1.55014e+07	57412.7	63112.9	357	379	0.939474	0.997368	1.19161e+07	33378.5	48515.6
pdhd	029107_21_d30hpost	029107	370	2	540	349.031	0	497	0	388	466	0.718519	0.862963	2.46732e+07	63590.8	70690.7	401	463	0.742593	0.857407	2.50143e+07	62379.9	71668.1	507	540	0.938889	1	1.94041e+07	38272.5	55594.4
pdhd	029107_21_d30hpost	029107	400	0	176	110.216	0	612	0	176	176	1	1	8.43104e+06	47903.7	76495.5	174	176	0.988636	1	9.93909e+06	57121.2	90178.2	175	176	0.994318	1	4.79214e+06	27383.6	43479.4
pdhd	029107_21_d30hpost	029107	420	0	419	269.394	0	716	0.200477	419	419	1	1	1.40782e+07	33599.5	52258.7	418	418	0.997613	0.997613	1.77538e+07	42473.3	65902.8	415	418	0.990453	0.997613	7.17335e+06	17285.2	26627.7
pdhd	029107_21_d30hpost	029107	420	2	279	179.382	0	647	0	270	270	0.967742	0.967742	1.1684e+07	43274.2	65135	266	271	0.953405	0.971326	1.41264e+07	53106.9	78750.7	265	266	0.949821	0.953405	4.24846e+06	16031.9	23683.9
pdhd	029107_21_d30hpost	029107	460	0	151	90.0738	0	521	0	33	81	0.218543	0.536424	320916	9724.73	3562.81	10	23	0.0662252	0.152318	358633	35863.3	3981.55	84	151	0.556291	1	1.63865e+06	19507.8	18192.4
pdhd	029107_21_d30hpost	029107	500	2	709	429.773	0	933	1	140	704	0.197461	0.992948	576502	4117.87	1341.41	141	691	0.198872	0.974612	540376	3832.45	1257.35	58	709	0.0818054	1	140177	2416.84	326.166
pdhd	029107_21_d30hpost	029107	520	2	62	40.7768	0	722	0	62	62	1	1	3.45842e+06	55781	84813.4	62	62	1	1	5.89252e+06	95040.6	144506	62	62	1	1	2.06156e+06	33251	50557.2
pdhd	029107_21_d30hpost	029107	630	2	401	247.284	0	796	0.336658	132	274	0.329177	0.683292	6.20515e+06	47008.7	25093.2	122	287	0.304239	0.715711	3.31992e+06	27212.5	13425.5	106	262	0.264339	0.653367	1.84186e+06	17376	7448.35
pdhd	029107_21_d30hpost	029107	1080	3	69	42.9857	0	8	0	69	69	1	1	6.4454e+06	93411.6	149943	69	69	1	1	6.33676e+06	91837.1	147416	69	69	1	1	4.82106e+06	69870.4	112155
