arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_12_d07bb	39	39	0	0	268	103	26	26	97	53	0	20	16.8
029107_12_d07bb	40	40	0	0	1383	285	118	118	237	684	269	51	40.8
029107_12_d07bb	43	43	2	0	187	168	8	8	162	10	0	11	1.9
029107_12_d07bb	46	46	0	0	106	106	4	4	94	5	0	6	0.5
029107_12_d07bb	46	46	2	0	1198	938	59	59	850	295	0	22	3.5
029107_12_d07bb	47	47	0	0	7597	1213	797	797	1356	5175	625	136	58.9
029107_12_d07bb	47	47	2	0	1892	633	239	239	580	1106	0	80	16.6
029107_12_d07bb	48	48	0	0	188	141	10	10	122	8	0	15	13.0
029107_12_d07bb	48	48	2	0	91	5	1	1	8	0	82	2	27.9
029107_12_d07bb	49	49	2	0	477	109	22	22	119	70	209	9	45.2
029107_12_d07bb	51	51	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	54	54	2	0	155	80	10	10	89	15	31	6	31.3
029107_12_d07bb	56	56	2	0	49	24	2	2	22	0	0	1	9.4
029107_12_d07bb	58	58	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	59	59	2	0	120	8	1	1	10	0	110	1	44.0
029107_12_d07bb	60	60	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	61	61	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	62	62	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	63	63	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	64	64	1	1	5	6	1	1	5	0	0	0	0.0
029107_12_d07bb	65	65	1	1	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	66	66	1	1	8	4	1	1	6	0	0	1	0.4
029107_12_d07bb	68	68	1	1	2	2	1	1	2	0	0	0	0.0
029107_12_d07bb	69	69	1	1	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	71	71	1	1	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	72	72	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	73	73	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	74	74	1	1	4	4	1	1	4	0	0	0	0.0
