# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=5 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039349_31_d51vstm	310	31	5	219	219	219	138.7853	138.7853	1.5780	219	139.3853	0.0000	0	0.0457	0.0000	138.7853	1	8	1.8909	0.6558	0.9760	0.3967	0.9993	muon	1.7031	0	1	219	0	nan	nan	nan	83463	78186	22180	4377	74320	69709	71868	59519	2	2	1	3	3	5	8	7	16	15	32
pdvd	039349_36_d51vstm	540	54	5	366	366	366	233.1732	233.1732	1.5696	366	233.8400	0.0000	0	0.0246	0.0000	233.1732	1	8	1.9754	0.8768	0.1981	0.5303	0.2212	muon	2.5044	0	1	0	366	nan	nan	nan	91362	79469	43583	45876	64337	51308	58473	51136	2	2	1	3	3	6	8	8	15	16	31
pdvd	039349_37_d51vstm	270	27	5	115	115	115	75.2270	75.2270	1.5287	115	75.8270	0.0000	0	0.0174	0.0000	75.2270	1	7	1.0524	0.9649	0.1939	0.5868	0.1982	muon	1.2726	0	1	0	115	nan	nan	nan	nan	92493	52247	56397	83173	62918	51271	49241	2	1	2	2	3	4	8	8	16	16	29
pdvd	039349_37_d51vstm	420	42	5	51	51	51	31.8561	31.8561	1.6009	51	32.4561	0.0000	0	0.1176	0.0000	31.8561	1	7	0.8544	0.7875	0.4246	0.4687	0.4325	muon	4.0560	0	0	0	51	nan	nan	nan	34197	52055	91668	55639	77469	30961	64401	nan	2	1	2	3	3	4	8	8	17	3	0
pdvd	039349_3_d51vstm	670	67	5	603	603	536	400.6679	400.6679	1.3378	603	393.8419	0.0000	0	0.0410	0.0000	357.9155	1	8	3.3114	0.9856	0.6027	0.5961	0.5847	proton	1.5781	0	1	32	504	nan	nan	nan	162674	146345	97040	82596	49460	14471	52005	51430	2	1	2	3	3	4	9	8	4	15	30
pdvd	039349_44_d51vstm	340	34	5	321	321	321	210.8659	210.8659	1.5223	321	204.0107	0.0000	0	0.0249	0.0000	210.8659	1	7	0.3843	0.9169	0.2551	0.5576	0.2593	muon	1.8583	0	1	321	0	nan	nan	nan	nan	72179	53167	66631	53625	61604	84836	35154	2	2	2	2	4	4	8	7	16	16	20
pdvd	039349_45_d51vstm	510	51	5	535	535	464	339.9563	339.9563	1.3649	535	340.5142	0.0000	0	0.1207	0.0000	295.0968	1	8	2.8838	0.9430	0.1243	0.5704	0.1486	muon	1.6051	0	0	0	464	nan	nan	nan	62013	73351	67250	72192	65238	58904	56972	53064	2	1	2	3	3	5	8	8	15	16	31
pdvd	039349_46_d51vstm	200	20	5	466	466	359	300.9773	300.9773	1.1928	466	301.6452	0.0000	0	0.0446	0.0000	231.7758	1	8	1.0095	0.8173	0.2265	0.4943	0.2741	muon	2.7130	0	1	359	0	nan	nan	nan	51577	50619	59895	49523	55222	52142	52864	69302	2	2	1	3	3	4	7	8	15	15	32
pdvd	039349_47_d51vstm	270	27	5	453	453	390	298.7880	298.7880	1.3053	453	299.4236	0.0000	0	0.0051	0.0000	257.9078	1	8	0.4419	0.9606	0.2605	0.5810	0.2771	muon	1.3279	0	1	390	0	nan	nan	nan	70675	128017	46734	55524	55424	67269	61511	55228	2	2	1	4	3	4	7	8	15	14	31
pdvd	039349_48_d51vstm	450	45	5	270	270	194	172.6837	172.6837	1.1234	270	173.2837	0.0000	0	0.0515	47.8608	172.6837	0	1	nan	nan	nan	nan	nan	none	1.7050	0	0	0	194	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	54305	0	0	0	0	0	0	0	0	0	0	20
pdvd	039349_49_d51vstm	710	71	5	224	224	224	146.5071	146.5071	1.5289	224	147.1071	0.0000	0	0.0580	0.0000	146.5071	1	8	0.5302	0.7636	0.4549	0.4619	0.4779	muon	1.5573	0	0	0	224	nan	nan	nan	65616	24618	41553	48821	104286	60006	43554	53112	2	1	2	3	3	4	9	8	15	14	29
