sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	349549	0	12.790	8.882	13	1155004	0	nu-candidate	10	1	1	1	0	0.891	100.2	36	1.2086053	-79.15686	110.583115	1.8740177	-6.144591	1.0	0.0	0.7	0.0	1171.1653	0.0	0.0	0.0	0	5.452424
mcp1k	18255	1	349835	0	10.349	6.212	11	1189812	0	nu-candidate	12	1	2	1	0	1.082	63.9	3	-86.587616	118.50008	222.64142	2.6360662	-15.0	1.0	0.0	0.7	0.0	496.37982	0.0	0.0	0.0	0	8.669311
mcp1k	18255	1	349879	0	11.571	7.489	12	1205220	0	nu-candidate	14	1	1	1	0	0.945	282.8	1	36.392963	-149.3904	255.6401	4.2455406	-15.0	1.0	0.0	0.7	0.0	1002.9141	1.4254456	0.0	1.4254456	1	0.0
mcp1k	18255	1	349945	0	15.486	10.493	17	1221844	0	nu-candidate	14	1	1	1	0	1.456	184.1	23	-153.04305	-99.52974	102.0697	4.335163	-12.305401	1.0	0.0	0.7	0.0	1047.2573	132.9417	0.0	132.9417	4	27.36628
mcp1k	18255	1	350099	0	10.203	5.909	12	1154944	0	nu-candidate	15	1	1	1	0	1.087	141.2	0	86.71421	-193.30865	499.72934	3.8929245	-15.0	1.0	1.0	0.7	0.0	473.48822	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	350121	0	15.509	10.614	17	1197696	0	nu-candidate	7	1	1	1	0	0.746	186.0	21	-43.528732	-22.689413	335.40793	4.801154	-15.0	1.0	0.0	0.7	0.0	1202.7183	26.451555	0.0	26.451555	2	366.99997
mcp1k	18255	1	350297	0	11.636	8.210	14	1213688	0	nu-candidate	15	1	1	1	0	1.436	252.8	4	-120.00975	76.72211	219.0146	3.964206	-15.0	1.0	0.0	0.7	0.0	907.94904	0.0	0.0	0.0	0	5.904795
mcp1k	18255	1	350781	0	5.080	1.095	7	359484	0	cosmic-tagged	9	1	1	0	0																		
mcp1k	18255	1	350935	0	12.787	8.943	15	1193268	0	nu-candidate	10	1	1	1	0	1.907	153.6	7	-91.50267	-45.31465	29.597403	1.9405794	-15.0	1.0	0.0	0.7	0.0	752.0106	465.53207	0.0	465.53207	4	7.9031396
mcp1k	18255	1	351507	0	5.169	1.055	7	376484	0	cosmic-tagged	9	1	1	0	0																		
mcp1k	18255	1	351551	0	6.255	1.203	8	402848	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	351617	0	6.135	1.378	7	443364	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	351639	0	9.998	5.763	11	1227968	0	cosmic-tagged	9	1	1	1	0	1.331	19.1	5	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	351705	0	9.960	5.342	12	1153544	0	nu-candidate	6	1	1	1	0	0.629	114.8	0	-132.50047	-24.722334	168.6922	1.6884625	-15.0	1.0	0.0	0.7	0.0	401.92578	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	351749	0	10.147	5.849	12	1209272	0	nu-candidate	10	1	1	1	0	1.246	8.6	22	-132.18478	-8.05402	461.77676	-2.3128233	-15.0	1.0	0.0	0.7	0.0	149.28699	5.2920046	0.0	5.2920046	3	36.119804
mcp1k	18255	1	351815	0	5.092	1.361	7	448840	0	cosmic-tagged	15	1	1	0	0																		
mcp1k	18255	1	352123	0	11.609	6.342	13	1311436	0	nu-candidate	12	1	1	1	0	1.507	65.1	0	187.25609	-58.79403	412.15274	2.9800544	-15.0	1.0	0.0	0.7	0.0	498.26315	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	352211	0	6.004	0.952	7	358476	0	no-beam-flash	7	0	0	0	0																		
mcp1k	18255	1	352233	0	11.288	6.371	12	1196452	0	nu-candidate	7	1	1	1	0	1.726	89.7	12	67.64514	90.951614	406.84424	1.6954972	-15.0	1.0	0.0	0.7	0.0	525.6122	0.0	0.0	0.0	0	65.6095
mcp1k	18255	1	352365	0	5.995	1.575	7	406260	0	no-bundle	8	0	1	0	0																		
mcp1k	18255	1	352915	0	5.985	1.154	7	388144	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	352937	0	7.482	1.224	8	418696	0	nu-candidate	17	1	1	0	0																		
mcp1k	18255	1	353179	0	6.294	1.023	8	363720	0	no-bundle	8	0	1	0	0																		
mcp1k	18255	1	353223	0	11.616	6.231	13	1226472	0	nu-candidate	11	1	1	1	0	1.072	62.4	2	-11.746329	-152.34734	480.62125	0.8455353	-15.0	1.0	0.0	0.7	0.0	489.58594	0.0	0.0	0.0	0	1.627073
mcp1k	18255	1	353487	0	7.683	1.790	9	413848	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	353729	0	13.228	7.043	15	1374484	0	cosmic-tagged	15	1	1	1	0	1.339	40.2	8	53.487747	70.60885	169.28497	-0.5400319	-15.0	1.0	0.0	0.7	0.0	246.14995	7.20851	0.0	7.20851	4	6.3495846
mcp1k	18255	1	353751	0	11.506	6.476	13	1149600	0	nu-candidate	11	1	1	1	0	1.004	159.8	2	49.92457	-62.460457	144.21707	4.634781	-15.0	1.0	0.0	0.7	0.0	700.18866	0.0	0.0	0.0	0	1.8051137
